Дата,Новые комментарии,Поделились,"Процент отметок ""Нравится"" (%)","Отметки ""Не нравится""","Отметки ""Нравится""",Отказались от подписки,Новые подписчики,Постоянные зрители,Новые зрители,Среднее число просмотров одним пользователем,Уникальные зрители,CTR для значков видео (%),Показы,Подписчики,Средний процент просмотра (%),Просмотры,Время просмотра (часы),Средняя продолжительность просмотра
2022-09-05,1.0,6.0,90.0,1.0,9.0,1.0,11.0,116.0,268.0,2.0313,384.0,4.61,6920.0,10.0,32.69,780.0,34.797,0.04461153846153846
2022-09-04,2.0,11.0,97.78,1.0,44.0,1.0,14.0,119.0,413.0,3.0489,532.0,3.38,12818.0,13.0,42.56,1622.0,83.1776,0.05128088779284833
2022-09-03,1.0,15.0,80.0,1.0,4.0,2.0,14.0,73.0,277.0,2.0829,350.0,3.5,7800.0,12.0,25.71,729.0,24.9698,0.034252126200274347
2022-09-02,0.0,2.0,77.78,2.0,7.0,1.0,5.0,53.0,200.0,1.6324,253.0,3.3,7001.0,4.0,21.0,413.0,12.9029,0.031241888619854722
2022-09-01,1.0,1.0,87.5,2.0,14.0,2.0,6.0,54.0,133.0,2.0374,187.0,3.01,6482.0,4.0,28.68,381.0,15.3981,0.04041496062992126
2022-08-31,1.0,3.0,92.86,1.0,13.0,5.0,5.0,90.0,107.0,2.2284,197.0,3.03,7036.0,0.0,28.73,439.0,17.3267,0.03946856492027335
2022-08-30,1.0,1.0,100.0,0.0,26.0,7.0,2.0,86.0,111.0,1.8883,197.0,2.22,9771.0,-5.0,28.63,372.0,14.7699,0.039704032258064514
2022-08-29,1.0,6.0,92.31,1.0,12.0,4.0,5.0,104.0,161.0,2.1887,265.0,2.05,16273.0,1.0,30.04,580.0,23.119,0.03986034482758621
2022-08-28,1.0,4.0,93.94,2.0,31.0,28.0,5.0,131.0,258.0,2.0797,389.0,1.57,34599.0,-23.0,25.62,809.0,27.4602,0.033943386897404206
2022-08-27,0.0,0.0,100.0,0.0,37.0,13.0,8.0,102.0,240.0,2.1082,342.0,2.22,18434.0,-5.0,16.86,721.0,17.7463,0.02461345353675451
2022-08-26,5.0,1.0,100.0,0.0,24.0,29.0,9.0,170.0,292.0,1.6905,462.0,1.25,39479.0,-20.0,18.68,781.0,20.843,0.026687580025608195
2022-08-25,6.0,7.0,96.92,2.0,63.0,95.0,10.0,174.0,419.0,1.9899,593.0,1.21,69432.0,-85.0,19.71,1180.0,36.3062,0.030767966101694914
2022-08-24,0.0,2.0,90.91,1.0,10.0,4.0,3.0,65.0,105.0,2.1412,170.0,2.98,6613.0,-1.0,28.49,364.0,15.8,0.04340659340659341
2022-08-23,0.0,0.0,100.0,0.0,5.0,2.0,5.0,48.0,89.0,1.9489,137.0,4.25,3596.0,3.0,27.74,267.0,10.9469,0.04099962546816479
2022-08-22,0.0,1.0,100.0,0.0,5.0,3.0,7.0,50.0,89.0,2.6691,139.0,4.03,5428.0,4.0,33.09,371.0,17.0727,0.04601805929919138
2022-08-21,0.0,0.0,100.0,0.0,4.0,2.0,4.0,39.0,65.0,2.4231,104.0,3.68,3096.0,2.0,34.37,252.0,12.2717,0.04869722222222222
2022-08-20,0.0,0.0,100.0,0.0,5.0,2.0,4.0,41.0,62.0,2.0194,103.0,4.1,3076.0,2.0,28.7,208.0,8.6925,0.04179086538461539
2022-08-19,0.0,2.0,100.0,0.0,9.0,3.0,2.0,37.0,63.0,2.16,100.0,4.37,2908.0,-1.0,28.82,216.0,9.3842,0.04344537037037037
2022-08-18,0.0,0.0,100.0,0.0,5.0,1.0,3.0,41.0,82.0,2.187,123.0,4.81,3555.0,2.0,33.83,269.0,12.8509,0.047772862453531593
2022-08-17,0.0,1.0,83.33,1.0,5.0,2.0,3.0,42.0,61.0,2.3883,103.0,4.22,2723.0,1.0,29.01,246.0,9.9646,0.04050650406504065
2022-08-16,0.0,0.0,100.0,0.0,1.0,2.0,1.0,47.0,88.0,1.7481,135.0,4.9,2673.0,-1.0,26.33,236.0,9.0528,0.0383593220338983
2022-08-15,0.0,0.0,100.0,0.0,6.0,3.0,5.0,42.0,78.0,1.925,120.0,2.49,5021.0,2.0,24.61,231.0,8.3439,0.03612077922077922
2022-08-14,0.0,0.0,100.0,0.0,4.0,3.0,4.0,32.0,77.0,2.2752,109.0,3.96,4119.0,1.0,24.02,248.0,8.4701,0.03415362903225807
2022-08-13,0.0,1.0,0.0,1.0,0.0,2.0,2.0,26.0,59.0,1.4824,85.0,2.75,2222.0,0.0,22.99,126.0,4.6989,0.03729285714285714
